Expected Output,Actual Output,File name,Parsed Json file
hod,hard,vowel/at1J0.aiff,at1-vowel.json
who'd,food,vowel/at1J8.aiff,at1-vowel.json
had,head,vowel/at1J7.aiff,at1-vowel.json
who'd,food,vowel/at1J40008.aiff,at1-vowel.json
had,head,vowel/at1J40007.aiff,at1-vowel.json
had,head,vowel/at1J10007.aiff,at1-vowel.json
hod,hard,vowel/at1J10000.aiff,at1-vowel.json
hudd,hood,vowel/at1J1.aiff,at1-vowel.json
hod,hard,vowel/at1J30000.aiff,at1-vowel.json
hayed,hate,vowel/at1J30002.aiff,at1-vowel.json
hudd,hood,vowel/at1J30001.aiff,at1-vowel.json
hoed,hood,vowel/at1J30003.aiff,at1-vowel.json
hoed,hood,vowel/at1J3.aiff,at1-vowel.json
who'd,hood,vowel/at1J20008.aiff,at1-vowel.json
heed,heat,vowel/at1J20004.aiff,at1-vowel.json
who'd,food,vowel/at1J10008.aiff,at1-vowel.json
hayed,hate,vowel/at1J2.aiff,at1-vowel.json
hod,hard,vowel/at1J20000.aiff,at1-vowel.json
hoed,hood,vowel/at1J40003.aiff,at1-vowel.json
heed,heat,vowel/at1J40004.aiff,at1-vowel.json
had,head,vowel/at1J20007.aiff,at1-vowel.json
hood,good,vowel/at1J20009.aiff,at1-vowel.json
heed,heat,vowel/at1J4.aiff,at1-vowel.json
hayed,hate,vowel/at1J40002.aiff,at1-vowel.json
hudd,hood,vowel/at1J40001.aiff,at1-vowel.json
hod,hard,vowel/at1J40000.aiff,at1-vowel.json
who'd,hood,vowel/at1J30008.aiff,at1-vowel.json
hood,good,vowel/at1J30009.aiff,at1-vowel.json
had,head,vowel/at1J30007.aiff,at1-vowel.json
hudd,hood,vowel/at1J10001.aiff,at1-vowel.json
hoed,hood,vowel/at1J10003.aiff,at1-vowel.json
heed,heat,vowel/at1J10004.aiff,at1-vowel.json
hayed,hate,vowel/at1J10002.aiff,at1-vowel.json
heed,heat,vowel/at1J30004.aiff,at1-vowel.json
hid,head,vowel/at1J20005.aiff,at1-vowel.json
hayed,hate,vowel/at1J20002.aiff,at1-vowel.json
hudd,hood,vowel/at1J20001.aiff,at1-vowel.json
hoed,hood,vowel/at1J20003.aiff,at1-vowel.json
preferably,preferribly,multi/at2G84.aiff,at2G-multi.json
kangeroo,kangaroo,multi/at2G54.aiff,at2G-multi.json
adapt,a death,multi/at2G1004.aiff,at2G-multi.json
sweeten,sweden,multi/at2G101.aiff,at2G-multi.json
absent,epson,multi/at2G0.aiff,at2G-multi.json
superhighway,super highway,multi/at2G100.aiff,at2G-multi.json
pastel,pesto,multi/at2G76.aiff,at2G-multi.json
outshine,outside,multi/at2G73.aiff,at2G-multi.json
opportune,opportun,multi/at2G70.aiff,at2G-multi.json
underrate,under it,multi/at2G110.aiff,at2G-multi.json
obtain,null,multi/at2G69.aiff,at2G-multi.json
disapproval,dissaproval,multi/at2G33.aiff,at2G-multi.json
discourteous,discordious,multi/at2G34.aiff,at2G-multi.json
insulate,influte,multi/at2G52.aiff,at2G-multi.json
caf,cafe,multi/at2G18.aiff,at2G-multi.json
generalize,general lives,multi/at2G44.aiff,at2G-multi.json
absentee,absolutely,multi/at2G1.aiff,at2G-multi.json
unadvised,uninvited,multi/at2G107.aiff,at2G-multi.json
hid,head,at7J10005.aiff,at7J-vowel.json
had,null,at7J10007.aiff,at7J-vowel.json
hudd,hard,at7J10001.aiff,at7J-vowel.json
hoed,hood,at7J10003.aiff,at7J-vowel.json
hayed,head,at7J10002.aiff,at7J-vowel.json
hod,hard,at7J10000.aiff,at7J-vowel.json
who'd,good,at7J40008.aiff,at7J-vowel.json
hid,head,at7J5.aiff,at7J-vowel.json
had,null,at7J7.aiff,at7J-vowel.json
who'd,good,at7J10008.aiff,at7J-vowel.json
hood,hard,at7J10009.aiff,at7J-vowel.json
heed,null,at7J10004.aiff,at7J-vowel.json
who'd,hood,at7J8.aiff,at7J-vowel.json
hood,hard,at7J9.aiff,at7J-vowel.json
hayed,hate,at7J2.aiff,at7J-vowel.json
hod,hard,at7J0.aiff,at7J-vowel.json
hoed,hood,at7J3.aiff,at7J-vowel.json
hudd,hard,at7J1.aiff,at7J-vowel.json
heed,null,at7J4.aiff,at7J-vowel.json
heed,null,at7J40004.aiff,at7J-vowel.json
had,hat,at7J40007.aiff,at7J-vowel.json
hid,head,at7J40005.aiff,at7J-vowel.json
hod,hard,at7J40000.aiff,at7J-vowel.json
hayed,hade,at7J40002.aiff,at7J-vowel.json
hudd,hard,at7J30001.aiff,at7J-vowel.json
heed,null,at7J30004.aiff,at7J-vowel.json
had,null,at7J30007.aiff,at7J-vowel.json
hid,head,at7J30005.aiff,at7J-vowel.json
who'd,good,at7J20008.aiff,at7J-vowel.json
hood,hard,at7J20009.aiff,at7J-vowel.json
hoed,hood,at7J40003.aiff,at7J-vowel.json
hudd,null,at7J40001.aiff,at7J-vowel.json
who'd,good,at7J30008.aiff,at7J-vowel.json
hood,hide,at7J30009.aiff,at7J-vowel.json
