Expected Output,Actual Output,File name,Parsed Json file,Status
clarinet,clarinet,multi/we0G23.aiff,we0g-multi.json,
absent,absent,multi/we0G0.aiff,we0g-multi.json,
absentee,absentee,multi/we0G1.aiff,we0g-multi.json,
superhighway,super highway,multi/we0G100.aiff,we0g-multi.json,
deactivate,deactivate,multi/we0G29.aiff,we0g-multi.json,
accuser,accuser,multi/we0G3.aiff,we0g-multi.json,
cemetery,cemetery,multi/we0G21.aiff,we0g-multi.json,
constellation,constellation,multi/we0G24.aiff,we0g-multi.json,
feminism,feminism,multi/we0G1040.aiff,we0g-multi.json,
giant,giant,multi/we0G1045.aiff,we0g-multi.json,
tiger,tiger,multi/we0G104.aiff,we0g-multi.json,
teamster,teamster,multi/we0G103.aiff,we0g-multi.json,
tangerine,tangerine,multi/we0G102.aiff,we0g-multi.json,
sweeten,sweden,multi/we0G101.aiff,we0g-multi.json,
aquarium,aquarium,multi/we0G10.aiff,we0g-multi.json,
detrimental,detrimental,multi/we0G30.aiff,we0g-multi.json,
strengthen,strengthen,multi/we0G98.aiff,we0g-multi.json,
sarcastic,sarcastic,multi/we0G94.aiff,we0g-multi.json,
sterile,sterile,multi/we0G97.aiff,we0g-multi.json,
spider,spider,multi/we0G96.aiff,we0g-multi.json,
serenade,serenade,multi/we0G95.aiff,we0g-multi.json,
disagree,disagree,multi/we0G32.aiff,we0g-multi.json,
disapproval,dissaproval,multi/we0G33.aiff,we0g-multi.json,
evaporate,evaporate,multi/we0G37.aiff,we0g-multi.json,
hurricane,hurricane,multi/we0G49.aiff,we0g-multi.json,
alibi,alibi,multi/we0G5.aiff,we0g-multi.json,
incoherent,incoherent,multi/we0G50.aiff,we0g-multi.json,
influenza,influenza,multi/we0G51.aiff,we0g-multi.json,
iodine,iodine,multi/we0G53.aiff,we0g-multi.json,
kangeroo,kangaroo,multi/we0G54.aiff,we0g-multi.json,
museum,museum,multi/we0G65.aiff,we0g-multi.json,
kazoo,kazoo,multi/we0G55.aiff,we0g-multi.json,
insulate,insulate,multi/we0G52.aiff,we0g-multi.json,
liberator,liberator,multi/we0G57.aiff,we0g-multi.json,
lemonade,lemonade,multi/we0G56.aiff,we0g-multi.json,
bazooka,bazooka,multi/we0G15.aiff,we0g-multi.json,
bassinet,bassinet,multi/we0G14.aiff,we0g-multi.json,
axle,axle,multi/we0G13.aiff,we0g-multi.json,
athletic,athletic,multi/we0G12.aiff,we0g-multi.json,
bombard,bombard,multi/we0G17.aiff,we0g-multi.json,
caf,cafe,multi/we0G18.aiff,we0g-multi.json,
bikini,bikini,multi/we0G16.aiff,we0g-multi.json,
caterpillar,caterpillar,multi/we0G19.aiff,we0g-multi.json,
accelerate,accelerate,multi/we0G2.aiff,we0g-multi.json,
cauliflower,cauliflower,multi/we0G20.aiff,we0g-multi.json,
porcupine,porcupine,multi/we0G81.aiff,we0g-multi.json,
mighty,mighty,multi/we0G63.aiff,we0g-multi.json,
mispronounce,miss pronounce,multi/we0G64.aiff,we0g-multi.json,
mascara,mascara,multi/we0G62.aiff,we0g-multi.json,
photographic,photographic,multi/we0G78.aiff,we0g-multi.json,
pastel,pastel,multi/we0G76.aiff,we0g-multi.json,
poisoner,poisoner,multi/we0G79.aiff,we0g-multi.json,
peninsula,peninsula,multi/we0G77.aiff,we0g-multi.json,
salamander,salamander,multi/we0G93.aiff,we0g-multi.json,
robin,robin,multi/we0G91.aiff,we0g-multi.json,
