filePathInUpload,expectedTranscription,evaluationWeight
vowel/at1J7.aiff,had,1
vowel/at1J10007.aiff,had,1
vowel/at1J20007.aiff,had,1
vowel/at1J30007.aiff,had,1
vowel/at1J40007.aiff,had,1
vowel/at1J2.aiff,hayed,1
vowel/at1J10002.aiff,hayed,1
vowel/at1J20002.aiff,hayed,1
vowel/at1J30002.aiff,hayed,1
vowel/at1J40002.aiff,hayed,1
vowel/at1J6.aiff,head,1
vowel/at1J10006.aiff,head,1
vowel/at1J20006.aiff,head,1
vowel/at1J30006.aiff,head,1
vowel/at1J40006.aiff,head,1
vowel/at1J4.aiff,heed,1
vowel/at1J10004.aiff,heed,1
vowel/at1J20004.aiff,heed,1
vowel/at1J30004.aiff,heed,1
vowel/at1J40004.aiff,heed,1
vowel/at1J5.aiff,hid,1
vowel/at1J10005.aiff,hid,1
vowel/at1J20005.aiff,hid,1
vowel/at1J30005.aiff,hid,1
vowel/at1J40005.aiff,hid,1
vowel/at1J0.aiff,hod,1
vowel/at1J10000.aiff,hod,1
vowel/at1J20000.aiff,hod,1
vowel/at1J30000.aiff,hod,1
vowel/at1J40000.aiff,hod,1
vowel/at1J3.aiff,hoed,1
vowel/at1J10003.aiff,hoed,1
vowel/at1J20003.aiff,hoed,1
vowel/at1J30003.aiff,hoed,1
vowel/at1J40003.aiff,hoed,1
vowel/at1J9.aiff,hood,1
vowel/at1J10009.aiff,hood,1
vowel/at1J20009.aiff,hood,1
vowel/at1J30009.aiff,hood,1
vowel/at1J40009.aiff,hood,1
vowel/at1J1.aiff,hudd,1
vowel/at1J10001.aiff,hudd,1
vowel/at1J20001.aiff,hudd,1
vowel/at1J30001.aiff,hudd,1
vowel/at1J40001.aiff,hudd,1
vowel/at1J8.aiff,who'd,1
vowel/at1J10008.aiff,who'd,1
vowel/at1J20008.aiff,who'd,1
vowel/at1J30008.aiff,who'd,1
vowel/at1J40008.aiff,who'd,1
