filePathInUpload,expectedTranscription,evaluationWeight
multi/at2G0.aiff,absent,1
multi/at2G1.aiff,absentee,1
multi/at2G2.aiff,accelerate,1
multi/at2G3.aiff,accuser,1
multi/at2G4.aiff,adapt,1
multi/at2G1004.aiff,adapt,1
multi/at2G5.aiff,alibi,1
multi/at2G6.aiff,alien,1
multi/at2G7.aiff,alligator,1
multi/at2G8.aiff,amphibian,1
multi/at2G9.aiff,anonymous,1
multi/at2G10.aiff,aquarium,1
multi/at2G11.aiff,armadillo,1
multi/at2G12.aiff,athletic,1
multi/at2G13.aiff,axle,1
multi/at2G14.aiff,bassinet,1
multi/at2G15.aiff,bazooka,1
multi/at2G16.aiff,bikini,1
multi/at2G17.aiff,bombard,1
multi/at2G18.aiff,caf�,1
multi/at2G19.aiff,caterpillar,1
multi/at2G20.aiff,cauliflower,1
multi/at2G21.aiff,cemetery,1
multi/at2G22.aiff,circumstance,1
multi/at2G23.aiff,clarinet,1
multi/at2G24.aiff,constellation,1
multi/at2G25.aiff,consume,1
multi/at2G26.aiff,coronation,1
multi/at2G27.aiff,coyote,1
multi/at2G28.aiff,dandelion,1
multi/at2G29.aiff,deactivate,1
multi/at2G30.aiff,detrimental,1
multi/at2G31.aiff,diabetes,1
multi/at2G32.aiff,disagree,1
multi/at2G33.aiff,disapproval,1
multi/at2G34.aiff,discourteous,1
multi/at2G35.aiff,earthy,1
multi/at2G36.aiff,equalizer,1
multi/at2G37.aiff,evaporate,1
multi/at2G38.aiff,exterior,1
multi/at2G39.aiff,feminine,1
multi/at2G40.aiff,feminism,1
multi/at2G41.aiff,forecast,1
multi/at2G42.aiff,functionary,1
multi/at2G43.aiff,gallop,1
multi/at2G44.aiff,generalize,1
multi/at2G45.aiff,giant,1
multi/at2G46.aiff,guitar,1
multi/at2G47.aiff,happily,1
multi/at2G48.aiff,helicopter,1
multi/at2G49.aiff,hurricane,1
multi/at2G50.aiff,incoherent,1
multi/at2G51.aiff,influenza,1
multi/at2G52.aiff,insulate,1
multi/at2G53.aiff,iodine,1
multi/at2G54.aiff,kangeroo,1
multi/at2G55.aiff,kazoo,1
multi/at2G56.aiff,lemonade,1
multi/at2G57.aiff,liberator,1
multi/at2G58.aiff,macaroni,1
multi/at2G59.aiff,malfunction,1
multi/at2G60.aiff,manufacture,1
multi/at2G61.aiff,martini,1
multi/at2G62.aiff,mascara,1
multi/at2G1062.aiff41,mascara,1
multi/at2G64.aiff,mispronounce,1
multi/at2G65.aiff,museum,1
multi/at2G66.aiff,nectarine,1
multi/at2G67.aiff,obedient,1
multi/at2G68.aiff,obsession,1
multi/at2G69.aiff,obtain,1
multi/at2G70.aiff,opportune,1
multi/at2G71.aiff,optimism,1
multi/at2G72.aiff,outdoors,1
multi/at2G73.aiff,outshine,1
multi/at2G74.aiff,paragraph,1
multi/at2G75.aiff,paranoia,1
multi/at2G76.aiff,pastel,1
multi/at2G77.aiff,peninsula,1
multi/at2G78.aiff,photographic,1
multi/at2G79.aiff,poisoner,1
multi/at2G80.aiff,porcelain,1
multi/at2G81.aiff,porcupine,1
multi/at2G82.aiff,potassium,1
multi/at2G83.aiff,precipitate,1
multi/at2G84.aiff,preferably,1
multi/at2G85.aiff,proclaim,1
multi/at2G86.aiff,procrastinate,1
multi/at2G87.aiff,prolong,1
multi/at2G88.aiff,qualify,1
multi/at2G89.aiff,readable,1
multi/at2G90.aiff,recording,1
multi/at2G91.aiff,robin,1
multi/at2G92.aiff,rodeo,1
multi/at2G93.aiff,salamander,1
multi/at2G94.aiff,sarcastic,1
multi/at2G95.aiff,serenade,1
multi/at2G96.aiff,spider,1
multi/at2G97.aiff,sterile,1
multi/at2G98.aiff,strengthen,1
multi/at2G99.aiff,subdivide,1
multi/at2G100.aiff,superhighway,1
multi/at2G101.aiff,sweeten,1
multi/at2G102.aiff,tangerine,1
multi/at2G103.aiff,teamster,1
multi/at2G104.aiff,tiger,1
multi/at2G105.aiff,tomato,1
multi/at2G106.aiff,trombone,1
multi/at2G107.aiff,unadvised,1
multi/at2G108.aiff,unbroken,1
multi/at2G109.aiff,unclean,1
multi/at2G110.aiff,underrate,1
multi/at2G111.aiff,victorious,1
