filePathInUpload,expectedTranscription,evaluationWeight
cvc/mi1B0.aiff,bean,1
cvc/mi1B1.aiff,bite,1
cvc/mi1B2.aiff,boat,1
cvc/mi1B3.aiff,boil,1
cvc/mi1B4.aiff,bull,1
cvc/mi1B5.aiff,cab,1
cvc/mi1B6.aiff,calm,1
cvc/mi1B7.aiff,can,1
cvc/mi1B8.aiff,caught,1
cvc/mi1B9.aiff,coal,1
cvc/mi1B10.aiff,code,1
cvc/mi1B11.aiff,coin,1
cvc/mi1B12.aiff,con,1
cvc/mi1B13.aiff,cool,1
cvc/mi1B14.aiff,cot,1
cvc/mi1B15.aiff,cough,1
cvc/mi1B16.aiff,death,1
cvc/mi1B17.aiff,dig,1
cvc/mi1B18.aiff,dime,1
cvc/mi1B19.aiff,dock,1
cvc/mi1B20.aiff,doll,1
cvc/mi1B21.aiff,doubt,1
cvc/mi1B22.aiff,dull,1
cvc/mi1B23.aiff,fade,1
cvc/mi1B24.aiff,fail,1
cvc/mi1B25.aiff,feed,1
cvc/mi1B26.aiff,fell,1
cvc/mi1B27.aiff,fire,1
cvc/mi1B28.aiff,fool,1
cvc/mi1B29.aiff,foul,1
cvc/mi1B30.aiff,full,1
cvc/mi1B31.aiff,gap,1
cvc/mi1B32.aiff,good,1
cvc/mi1B33.aiff,guide,1
cvc/mi1B34.aiff,head,1
cvc/mi1B35.aiff,heal,1
cvc/mi1B36.aiff,hill,1
cvc/mi1B37.aiff,home,1
cvc/mi1B38.aiff,keep,1
cvc/mi1B39.aiff,lit,1
cvc/mi1B40.aiff,loud,1
cvc/mi1B41.aiff,love,1
cvc/mi1B42.aiff,loyal,1
cvc/mi1B43.aiff,luck,1
cvc/mi1B44.aiff,lull,1
cvc/mi1B45.aiff,lung,1
cvc/mi1B46.aiff,main,1
cvc/mi1B47.aiff,math,1
cvc/mi1B48.aiff,meal,1
cvc/mi1B49.aiff,mile,1
cvc/mi1B50.aiff,mill,1
cvc/mi1B51.aiff,mob,1
cvc/mi1B52.aiff,pal,1
cvc/mi1B53.aiff,pen,1
cvc/mi1B54.aiff,pin,1
cvc/mi1B55.aiff,poke,1
cvc/mi1B56.aiff,pool,1
cvc/mi1B57.aiff,pull,1
cvc/mi1B58.aiff,rice,1
cvc/mi1B59.aiff,rip,1
cvc/mi1B60.aiff,sail,1
cvc/mi1B61.aiff,sell,1
cvc/mi1B62.aiff,sour,1
cvc/mi1B63.aiff,south,1
cvc/mi1B1063.aiff,south,1
cvc/mi1B64.aiff,tape,1
cvc/mi1B65.aiff,tool,1
cvc/mi1B66.aiff,towel,1
cvc/mi1B67.aiff,town,1
cvc/mi1B68.aiff,tube,1
cvc/mi1B69.aiff,voice,1
cvc/mi1B70.aiff,void,1
cvc/mi1B71.aiff,walk,1
cvc/mi1B72.aiff,wall,1
cvc/mi1B73.aiff,wet,1
cvc/mi1B74.aiff,wool,1
cvc/mi1B75.aiff,wrong,1
