filePathInUpload,expectedTranscription,evaluationWeight
multi/mi1G0.aiff,absent,1
multi/mi1G1.aiff,absentee,1
multi/mi1G2.aiff,accelerate,1
multi/mi1G3.aiff,accuser,1
multi/mi1G4.aiff,adapt,1
multi/mi1G5.aiff,alibi,1
multi/mi1G6.aiff,alien,1
multi/mi1G7.aiff,alligator,1
multi/mi1G8.aiff,amphibian,1
multi/mi1G9.aiff,anonymous,1
multi/mi1G10.aiff,aquarium,1
multi/mi1G11.aiff,armadillo,1
multi/mi1G12.aiff,athletic,1
multi/mi1G13.aiff,axle,1
multi/mi1G14.aiff,bassinet,1
multi/mi1G1014.aiff,bassinet,1
multi/mi1G15.aiff,bazooka,1
multi/mi1G16.aiff,bikini,1
multi/mi1G17.aiff,bombard,1
multi/mi1G18.aiff,caf�,1
multi/mi1G19.aiff,caterpillar,1
multi/mi1G20.aiff,cauliflower,1
multi/mi1G21.aiff,cemetery,1
multi/mi1G22.aiff,circumstance,1
multi/mi1G23.aiff,clarinet,1
multi/mi1G24.aiff,constellation,1
multi/mi1G25.aiff,consume,1
multi/mi1G26.aiff,coronation,1
multi/mi1G27.aiff,coyote,1
multi/mi1G28.aiff,dandelion,1
multi/mi1G29.aiff,deactivate,1
multi/mi1G30.aiff,detrimental,1
multi/mi1G31.aiff,diabetes,1
multi/mi1G32.aiff,disagree,1
multi/mi1G33.aiff,disapproval,1
multi/mi1G34.aiff,discourteous,1
multi/mi1G35.aiff,earthy,1
multi/mi1G36.aiff,equalizer,1
multi/mi1G1036.aiff34,equalizer,1
multi/mi1G38.aiff,exterior,1
multi/mi1G39.aiff,feminine,1
multi/mi1G40.aiff,feminism,1
multi/mi1G41.aiff,forecast,1
multi/mi1G42.aiff,functionary,1
multi/mi1G43.aiff,gallop,1
multi/mi1G44.aiff,generalize,1
multi/mi1G45.aiff,giant,1
multi/mi1G46.aiff,guitar,1
multi/mi1G47.aiff,happily,1
multi/mi1G48.aiff,helicopter,1
multi/mi1G49.aiff,hurricane,1
multi/mi1G50.aiff,incoherent,1
multi/mi1G51.aiff,influenza,1
multi/mi1G52.aiff,insulate,1
multi/mi1G53.aiff,iodine,1
multi/mi1G54.aiff,kangeroo,1
multi/mi1G55.aiff,kazoo,1
multi/mi1G56.aiff,lemonade,1
multi/mi1G57.aiff,liberator,1
multi/mi1G58.aiff,macaroni,1
multi/mi1G59.aiff,malfunction,1
multi/mi1G60.aiff,manufacture,1
multi/mi1G61.aiff,martini,1
multi/mi1G62.aiff,mascara,1
multi/mi1G63.aiff,mighty,1
multi/mi1G64.aiff,mispronounce,1
multi/mi1G65.aiff,museum,1
multi/mi1G66.aiff,nectarine,1
multi/mi1G67.aiff,obedient,1
multi/mi1G68.aiff,obsession,1
multi/mi1G69.aiff,obtain,1
multi/mi1G70.aiff,opportune,1
multi/mi1G71.aiff,optimism,1
multi/mi1G72.aiff,outdoors,1
multi/mi1G73.aiff,outshine,1
multi/mi1G74.aiff,paragraph,1
multi/mi1G75.aiff,paranoia,1
multi/mi1G76.aiff,pastel,1
multi/mi1G77.aiff,peninsula,1
multi/mi1G78.aiff,photographic,1
multi/mi1G79.aiff,poisoner,1
multi/mi1G80.aiff,porcelain,1
multi/mi1G81.aiff,porcupine,1
multi/mi1G82.aiff,potassium,1
multi/mi1G83.aiff,precipitate,1
multi/mi1G84.aiff,preferably,1
multi/mi1G85.aiff,proclaim,1
multi/mi1G86.aiff,procrastinate,1
multi/mi1G87.aiff,prolong,1
multi/mi1G88.aiff,qualify,1
multi/mi1G89.aiff,readable,1
multi/mi1G90.aiff,recording,1
multi/mi1G91.aiff,robin,1
multi/mi1G92.aiff,rodeo,1
multi/mi1G93.aiff,salamander,1
multi/mi1G94.aiff,sarcastic,1
multi/mi1G95.aiff,serenade,1
multi/mi1G96.aiff,spider,1
multi/mi1G97.aiff,sterile,1
multi/mi1G98.aiff,strengthen,1
multi/mi1G99.aiff,subdivide,1
multi/mi1G100.aiff,superhighway,1
multi/mi1G101.aiff,sweeten,1
multi/mi1G102.aiff,tangerine,1
multi/mi1G103.aiff,teamster,1
multi/mi1G104.aiff,tiger,1
multi/mi1G105.aiff,tomato,1
multi/mi1G106.aiff,trombone,1
multi/mi1G107.aiff,unadvised,1
multi/mi1G108.aiff,unbroken,1
multi/mi1G109.aiff,unclean,1
multi/mi1G110.aiff,underrate,1
multi/mi1G111.aiff,victorious,1
