filePathInUpload,expectedTranscription,evaluationWeight
vowel/so6J7.aiff,had,1
vowel/so6J10007.aiff,had,1
vowel/so6J20007.aiff,had,1
vowel/so6J30007.aiff,had,1
vowel/so6J40007.aiff,had,1
vowel/so6J2.aiff,hayed,1
vowel/so6J10002.aiff,hayed,1
vowel/so6J20002.aiff,hayed,1
vowel/so6J30002.aiff,hayed,1
vowel/so6J40002.aiff,hayed,1
vowel/so6J6.aiff,head,1
vowel/so6J10006.aiff,head,1
vowel/so6J20006.aiff,head,1
vowel/so6J30006.aiff,head,1
vowel/so6J40006.aiff,head,1
vowel/so6J4.aiff,heed,1
vowel/so6J10004.aiff,heed,1
vowel/so6J20004.aiff,heed,1
vowel/so6J30004.aiff,heed,1
vowel/so6J40004.aiff,heed,1
vowel/so6J5.aiff,hid,1
vowel/so6J10005.aiff,hid,1
vowel/so6J20005.aiff,hid,1
vowel/so6J30005.aiff,hid,1
vowel/so6J40005.aiff,hid,1
vowel/so6J0.aiff,hod,1
vowel/so6J10000.aiff,hod,1
vowel/so6J20000.aiff,hod,1
vowel/so6J30000.aiff,hod,1
vowel/so6J40000.aiff,hod,1
vowel/so6J3.aiff,hoed,1
vowel/so6J10003.aiff,hoed,1
vowel/so6J20003.aiff,hoed,1
vowel/so6J30003.aiff,hoed,1
vowel/so6J40003.aiff,hoed,1
vowel/so6J9.aiff,hood,1
vowel/so6J10009.aiff,hood,1
vowel/so6J20009.aiff,hood,1
vowel/so6J30009.aiff,hood,1
vowel/so6J40009.aiff,hood,1
vowel/so6J1.aiff,hudd,1
vowel/so6J10001.aiff,hudd,1
vowel/so6J20001.aiff,hudd,1
vowel/so6J30001.aiff,hudd,1
vowel/so6J40001.aiff,hudd,1
vowel/so6J8.aiff,who'd,1
vowel/so6J10008.aiff,who'd,1
vowel/so6J20008.aiff,who'd,1
vowel/so6J30008.aiff,who'd,1
vowel/so6J40008.aiff,who'd,1
