filePathInUpload,expectedTranscription,evaluationWeight
multi\so9G83.aiff,precipitate,1
multi\so9G75.aiff,paranoia,1
multi\so9G66.aiff,nectarine,1
multi\so9G67.aiff,obedient,1
multi\so9G26.aiff,coronation,1
multi\so9G12.aiff,athletic,1
multi\so9G93.aiff,salamander,1
multi\so9G68.aiff,obsession,1
multi\so9G9.aiff,anonymous,1
multi\so9G48.aiff,helicopter,1
multi\so9G22.aiff,circumstance,1
multi\so9G57.aiff,liberator,1
multi\so9G85.aiff,proclaim,1
multi\so9G44.aiff,generalize,1
multi\so9G47.aiff,happily,1
multi\so9G65.aiff,museum,1
multi\so9G20.aiff,cauliflower,1
multi\so9G103.aiff,teamster,1
multi\so9G5.aiff,alibi,1
multi\so9G1.aiff,absentee,1
multi\so9G24.aiff,constellation,1
multi\so9G27.aiff,coyote,1
multi\so9G56.aiff,lemonade,1
multi\so9G49.aiff,hurricane,1
multi\so9G11.aiff,armadillo,1
multi\so9G43.aiff,gallop,1
multi\so9G52.aiff,insulate,1
multi\so9G42.aiff,functionary,1
multi\so9G38.aiff,exterior,1
multi\so9G59.aiff,malfunction,1
multi\so9G61.aiff,martini,1
multi\so9G88.aiff,qualify,1
multi\so9G100.aiff,superhighway,1
multi\so9G78.aiff,photographic,1
multi\so9G51.aiff,influenza,1
multi\so9G6.aiff,alien,1
multi\so9G23.aiff,clarinet,1
multi\so9G34.aiff,discourteous,1
multi\so9G10.aiff,aquarium,1
multi\so9G14.aiff,bassinet,1
multi\so9G79.aiff,poisoner,1
multi\so9G37.aiff,evaporate,1
multi\so9G73.aiff,outshine,1
multi\so9G82.aiff,potassium,1
multi\so9G109.aiff,unclean,1
multi\so9G105.aiff,tomato,1
multi\so9G95.aiff,serenade,1
multi\so9G30.aiff,detrimental,1
multi\so9G101.aiff,sweeten,1
multi\so9G91.aiff,robin,1
multi\so9G3.aiff,accuser,1
multi\so9G55.aiff,kazoo,1
multi\so9G70.aiff,opportune,1
multi\so9G45.aiff,giant,1
multi\so9G32.aiff,disagree,1
multi\so9G18.aiff,caf,1
multi\so9G72.aiff,outdoors,1
multi\so9G58.aiff,macaroni,1
multi\so9G17.aiff,bombard,1
multi\so9G62.aiff,mascara,1
multi\so9G81.aiff,porcupine,1
multi\so9G77.aiff,peninsula,1
multi\so9G89.aiff,readable,1
multi\so9G36.aiff,equalizer,1
multi\so9G53.aiff,iodine,1
multi\so9G2.aiff,accelerate,1
multi\so9G97.aiff,sterile,1
multi\so9G107.aiff,unadvised,1
multi\so9G111.aiff,victorious,1
multi\so9G86.aiff,procrastinate,1
multi\so9G110.aiff,underrate,1
multi\so9G0.aiff,absent,1
multi\so9G99.aiff,subdivide,1
multi\so9G108.aiff,unbroken,1
multi\so9G84.aiff,preferably,1
multi\so9G33.aiff,disapproval,1
multi\so9G106.aiff,trombone,1
multi\so9G76.aiff,pastel,1
multi\so9G54.aiff,kangeroo,1
multi\so9G60.aiff,manufacture,1
multi\so9G41.aiff,forecast,1
multi\so9G28.aiff,dandelion,1
multi\so9G13.aiff,axle,1
multi\so9G104.aiff,tiger,1
multi\so9G46.aiff,guitar,1
multi\so9G39.aiff,feminine,1
multi\so9G71.aiff,optimism,1
multi\so9G87.aiff,prolong,1
multi\so9G64.aiff,mispronounce,1
multi\so9G35.aiff,earthy,1
multi\so9G25.aiff,consume,1
multi\so9G92.aiff,rodeo,1
multi\so9G69.aiff,obtain,1
multi\so9G63.aiff,mighty,1
multi\so9G7.aiff,alligator,1
multi\so9G96.aiff,spider,1
multi\so9G31.aiff,diabetes,1
multi\so9G90.aiff,recording,1
multi\so9G40.aiff,feminism,1
multi\so9G29.aiff,deactivate,1
multi\so9G98.aiff,strengthen,1
multi\so9G94.aiff,sarcastic,1
multi\so9G102.aiff,tangerine,1
multi\so9G74.aiff,paragraph,1
multi\so9G80.aiff,porcelain,1
multi\so9G8.aiff,amphibian,1
multi\so9G15.aiff,bazooka,1
multi\so9G50.aiff,incoherent,1
multi\so9G16.aiff,bikini,1
multi\so9G4.aiff,adapt,1
multi\so9G19.aiff,caterpillar,1
multi\so9G21.aiff,cemetery,1
