filePathInUpload,expectedTranscription,evaluationWeight
multi/we0G0.aiff,absent,1
multi/we0G1.aiff,absentee,1
multi/we0G2.aiff,accelerate,1
multi/we0G3.aiff,accuser,1
multi/we0G4.aiff,adapt,1
multi/we0G5.aiff,alibi,1
multi/we0G6.aiff,alien,1
multi/we0G7.aiff,alligator,1
multi/we0G8.aiff,amphibian,1
multi/we0G9.aiff,anonymous,1
multi/we0G10.aiff,aquarium,1
multi/we0G11.aiff,armadillo,1
multi/we0G12.aiff,athletic,1
multi/we0G13.aiff,axle,1
multi/we0G14.aiff,bassinet,1
multi/we0G15.aiff,bazooka,1
multi/we0G16.aiff,bikini,1
multi/we0G17.aiff,bombard,1
multi/we0G18.aiff,caf�,1
multi/we0G19.aiff,caterpillar,1
multi/we0G20.aiff,cauliflower,1
multi/we0G21.aiff,cemetery,1
multi/we0G22.aiff,circumstance,1
multi/we0G23.aiff,clarinet,1
multi/we0G24.aiff,constellation,1
multi/we0G25.aiff,consume,1
multi/we0G26.aiff,coronation,1
multi/we0G27.aiff,coyote,1
multi/we0G28.aiff,dandelion,1
multi/we0G29.aiff,deactivate,1
multi/we0G30.aiff,detrimental,1
multi/we0G31.aiff,diabetes,1
multi/we0G32.aiff,disagree,1
multi/we0G33.aiff,disapproval,1
multi/we0G34.aiff,discourteous,1
multi/we0G35.aiff,earthy,1
multi/we0G36.aiff,equalizer,1
multi/we0G37.aiff,evaporate,1
multi/we0G38.aiff,exterior,1
multi/we0G39.aiff,feminine,1
multi/we0G40.aiff,feminism,1
multi/we0G1040.aiff58,feminism,1
multi/we0G42.aiff,functionary,1
multi/we0G43.aiff,gallop,1
multi/we0G44.aiff,generalize,1
multi/we0G45.aiff,giant,1
multi/we0G1045.aiff,giant,1
multi/we0G46.aiff,guitar,1
multi/we0G47.aiff,happily,1
multi/we0G48.aiff,helicopter,1
multi/we0G49.aiff,hurricane,1
multi/we0G50.aiff,incoherent,1
multi/we0G51.aiff,influenza,1
multi/we0G52.aiff,insulate,1
multi/we0G53.aiff,iodine,1
multi/we0G54.aiff,kangeroo,1
multi/we0G55.aiff,kazoo,1
multi/we0G56.aiff,lemonade,1
multi/we0G57.aiff,liberator,1
multi/we0G58.aiff,macaroni,1
multi/we0G59.aiff,malfunction,1
multi/we0G60.aiff,manufacture,1
multi/we0G61.aiff,martini,1
multi/we0G62.aiff,mascara,1
multi/we0G63.aiff,mighty,1
multi/we0G64.aiff,mispronounce,1
multi/we0G65.aiff,museum,1
multi/we0G66.aiff,nectarine,1
multi/we0G67.aiff,obedient,1
multi/we0G68.aiff,obsession,1
multi/we0G69.aiff,obtain,1
multi/we0G70.aiff,opportune,1
multi/we0G71.aiff,optimism,1
multi/we0G72.aiff,outdoors,1
multi/we0G73.aiff,outshine,1
multi/we0G1073.aiff,outshine,1
multi/we0G74.aiff,paragraph,1
multi/we0G75.aiff,paranoia,1
multi/we0G76.aiff,pastel,1
multi/we0G77.aiff,peninsula,1
multi/we0G78.aiff,photographic,1
multi/we0G79.aiff,poisoner,1
multi/we0G80.aiff,porcelain,1
multi/we0G81.aiff,porcupine,1
multi/we0G82.aiff,potassium,1
multi/we0G83.aiff,precipitate,1
multi/we0G84.aiff,preferably,1
multi/we0G85.aiff,proclaim,1
multi/we0G86.aiff,procrastinate,1
multi/we0G87.aiff,prolong,1
multi/we0G88.aiff,qualify,1
multi/we0G89.aiff,readable,1
multi/we0G90.aiff,recording,1
multi/we0G91.aiff,robin,1
multi/we0G92.aiff,rodeo,1
multi/we0G93.aiff,salamander,1
multi/we0G94.aiff,sarcastic,1
multi/we0G95.aiff,serenade,1
multi/we0G96.aiff,spider,1
multi/we0G97.aiff,sterile,1
multi/we0G98.aiff,strengthen,1
multi/we0G99.aiff,subdivide,1
multi/we0G100.aiff,superhighway,1
multi/we0G101.aiff,sweeten,1
multi/we0G102.aiff,tangerine,1
multi/we0G103.aiff,teamster,1
multi/we0G104.aiff,tiger,1
multi/we0G1104.aiff,tiger,1
multi/we0G105.aiff,tomato,1
multi/we0G106.aiff,trombone,1
multi/we0G107.aiff,unadvised,1
multi/we0G108.aiff,unbroken,1
multi/we0G109.aiff,unclean,1
multi/we0G110.aiff,underrate,1
multi/we0G111.aiff,victorious,1
