filePathInUpload,expectedTranscription,evaluationWeight
cvc/we2B0.aiff,bean,1
cvc/we2B1.aiff,bite,1
cvc/we2B2.aiff,boat,1
cvc/we2B3.aiff,boil,1
cvc/we2B4.aiff,bull,1
cvc/we2B5.aiff,cab,1
cvc/we2B6.aiff,calm,1
cvc/we2B7.aiff,can,1
cvc/we2B8.aiff,caught,1
cvc/we2B9.aiff,coal,1
cvc/we2B10.aiff,code,1
cvc/we2B11.aiff,coin,1
cvc/we2B12.aiff,con,1
cvc/we2B13.aiff,cool,1
cvc/we2B14.aiff,cot,1
cvc/we2B15.aiff,cough,1
cvc/we2B16.aiff,death,1
cvc/we2B17.aiff,dig,1
cvc/we2B18.aiff,dime,1
cvc/we2B19.aiff,dock,1
cvc/we2B20.aiff,doll,1
cvc/we2B21.aiff,doubt,1
cvc/we2B22.aiff,dull,1
cvc/we2B23.aiff,fade,1
cvc/we2B24.aiff,fail,1
cvc/we2B25.aiff,feed,1
cvc/we2B26.aiff,fell,1
cvc/we2B27.aiff,fire,1
cvc/we2B28.aiff,fool,1
cvc/we2B29.aiff,foul,1
cvc/we2B30.aiff,full,1
cvc/we2B31.aiff,gap,1
cvc/we2B32.aiff,good,1
cvc/we2B33.aiff,guide,1
cvc/we2B34.aiff,head,1
cvc/we2B35.aiff,heal,1
cvc/we2B36.aiff,hill,1
cvc/we2B37.aiff,home,1
cvc/we2B38.aiff,keep,1
cvc/we2B39.aiff,lit,1
cvc/we2B40.aiff,loud,1
cvc/we2B41.aiff,love,1
cvc/we2B42.aiff,loyal,1
cvc/we2B43.aiff,luck,1
cvc/we2B44.aiff,lull,1
cvc/we2B45.aiff,lung,1
cvc/we2B46.aiff,main,1
cvc/we2B47.aiff,math,1
cvc/we2B48.aiff,meal,1
cvc/we2B49.aiff,mile,1
cvc/we2B50.aiff,mill,1
cvc/we2B51.aiff,mob,1
cvc/we2B52.aiff,pal,1
cvc/we2B53.aiff,pen,1
cvc/we2B54.aiff,pin,1
cvc/we2B55.aiff,poke,1
cvc/we2B56.aiff,pool,1
cvc/we2B57.aiff,pull,1
cvc/we2B58.aiff,rice,1
cvc/we2B59.aiff,rip,1
cvc/we2B60.aiff,sail,1
cvc/we2B61.aiff,sell,1
cvc/we2B62.aiff,sour,1
cvc/we2B63.aiff,south,1
cvc/we2B64.aiff,tape,1
cvc/we2B65.aiff,tool,1
cvc/we2B66.aiff,towel,1
cvc/we2B67.aiff,town,1
cvc/we2B68.aiff,tube,1
cvc/we2B69.aiff,voice,1
cvc/we2B70.aiff,void,1
cvc/we2B71.aiff,walk,1
cvc/we2B72.aiff32,wall,1
cvc/we2B74.aiff,wool,1
cvc/we2B75.aiff,wrong,1
