filePathInUpload,expectedTranscription,evaluationWeight
cvc/we3B0.aiff,bean,1
cvc/we3B1.aiff,bite,1
cvc/we3B2.aiff,boat,1
cvc/we3B3.aiff,boil,1
cvc/we3B4.aiff,bull,1
cvc/we3B5.aiff,cab,1
cvc/we3B6.aiff,calm,1
cvc/we3B7.aiff,can,1
cvc/we3B8.aiff,caught,1
cvc/we3B9.aiff,coal,1
cvc/we3B10.aiff,code,1
cvc/we3B11.aiff,coin,1
cvc/we3B12.aiff,con,1
cvc/we3B13.aiff,cool,1
cvc/we3B14.aiff,cot,1
cvc/we3B15.aiff,cough,1
cvc/we3B16.aiff,death,1
cvc/we3B17.aiff,dig,1
cvc/we3B18.aiff,dime,1
cvc/we3B19.aiff,dock,1
cvc/we3B20.aiff,doll,1
cvc/we3B21.aiff,doubt,1
cvc/we3B22.aiff,dull,1
cvc/we3B23.aiff,fade,1
cvc/we3B24.aiff,fail,1
cvc/we3B25.aiff,feed,1
cvc/we3B26.aiff,fell,1
cvc/we3B27.aiff,fire,1
cvc/we3B28.aiff,fool,1
cvc/we3B29.aiff,foul,1
cvc/we3B30.aiff,full,1
cvc/we3B31.aiff,gap,1
cvc/we3B32.aiff,good,1
cvc/we3B33.aiff,guide,1
cvc/we3B34.aiff,head,1
cvc/we3B35.aiff,heal,1
cvc/we3B36.aiff,hill,1
cvc/we3B37.aiff,home,1
cvc/we3B38.aiff,keep,1
cvc/we3B39.aiff,lit,1
cvc/we3B1039.aiff46,lit,1
cvc/we3B41.aiff,love,1
cvc/we3B42.aiff,loyal,1
cvc/we3B43.aiff,luck,1
cvc/we3B44.aiff,lull,1
cvc/we3B45.aiff,lung,1
cvc/we3B46.aiff,main,1
cvc/we3B47.aiff,math,1
cvc/we3B48.aiff,meal,1
cvc/we3B49.aiff,mile,1
cvc/we3B50.aiff,mill,1
cvc/we3B51.aiff,mob,1
cvc/we3B52.aiff,pal,1
cvc/we3B53.aiff,pen,1
cvc/we3B54.aiff,pin,1
cvc/we3B55.aiff,poke,1
cvc/we3B56.aiff,pool,1
cvc/we3B57.aiff,pull,1
cvc/we3B58.aiff,rice,1
cvc/we3B59.aiff,rip,1
cvc/we3B60.aiff,sail,1
cvc/we3B61.aiff,sell,1
cvc/we3B62.aiff,sour,1
cvc/we3B63.aiff,south,1
cvc/we3B64.aiff,tape,1
cvc/we3B65.aiff,tool,1
cvc/we3B66.aiff,towel,1
cvc/we3B67.aiff,town,1
cvc/we3B68.aiff,tube,1
cvc/we3B69.aiff,voice,1
cvc/we3B70.aiff,void,1
cvc/we3B71.aiff,walk,1
cvc/we3B72.aiff,wall,1
cvc/we3B73.aiff,wet,1
cvc/we3B74.aiff,wool,1
cvc/we3B75.aiff,wrong,1
