Expected Output,Actual Output,File name,Parsed Json file
hod,hard,vowel/at1J0.aiff,at1-vowel.json
who'd,food,vowel/at1J8.aiff,at1-vowel.json
hood,hood,vowel/at1J9.aiff,at1-vowel.json
hid,hid,vowel/at1J5.aiff,at1-vowel.json
had,head,vowel/at1J7.aiff,at1-vowel.json
hood,hood,vowel/at1J40009.aiff,at1-vowel.json
head,head,vowel/at1J6.aiff,at1-vowel.json
who'd,food,vowel/at1J40008.aiff,at1-vowel.json
hid,hid,vowel/at1J40005.aiff,at1-vowel.json
had,head,vowel/at1J40007.aiff,at1-vowel.json
head,head,vowel/at1J40006.aiff,at1-vowel.json
had,head,vowel/at1J10007.aiff,at1-vowel.json
head,head,vowel/at1J10006.aiff,at1-vowel.json
hod,hard,vowel/at1J10000.aiff,at1-vowel.json
hudd,hood,vowel/at1J1.aiff,at1-vowel.json
hid,hid,vowel/at1J30005.aiff,at1-vowel.json
hod,hard,vowel/at1J30000.aiff,at1-vowel.json
hayed,hate,vowel/at1J30002.aiff,at1-vowel.json
hudd,hood,vowel/at1J30001.aiff,at1-vowel.json
hoed,hood,vowel/at1J30003.aiff,at1-vowel.json
hoed,hood,vowel/at1J3.aiff,at1-vowel.json
who'd,hood,vowel/at1J20008.aiff,at1-vowel.json
heed,heat,vowel/at1J20004.aiff,at1-vowel.json
hood,hood,vowel/at1J10009.aiff,at1-vowel.json
who'd,food,vowel/at1J10008.aiff,at1-vowel.json
hayed,hate,vowel/at1J2.aiff,at1-vowel.json
hod,hard,vowel/at1J20000.aiff,at1-vowel.json
hoed,hood,vowel/at1J40003.aiff,at1-vowel.json
heed,heat,vowel/at1J40004.aiff,at1-vowel.json
had,head,vowel/at1J20007.aiff,at1-vowel.json
hood,good,vowel/at1J20009.aiff,at1-vowel.json
heed,heat,vowel/at1J4.aiff,at1-vowel.json
hayed,hate,vowel/at1J40002.aiff,at1-vowel.json
hudd,hood,vowel/at1J40001.aiff,at1-vowel.json
hod,hard,vowel/at1J40000.aiff,at1-vowel.json
head,head,vowel/at1J30006.aiff,at1-vowel.json
who'd,hood,vowel/at1J30008.aiff,at1-vowel.json
hood,good,vowel/at1J30009.aiff,at1-vowel.json
had,head,vowel/at1J30007.aiff,at1-vowel.json
hudd,hood,vowel/at1J10001.aiff,at1-vowel.json
hoed,hood,vowel/at1J10003.aiff,at1-vowel.json
heed,heat,vowel/at1J10004.aiff,at1-vowel.json
hid,hid,vowel/at1J10005.aiff,at1-vowel.json
hayed,hate,vowel/at1J10002.aiff,at1-vowel.json
heed,heat,vowel/at1J30004.aiff,at1-vowel.json
head,head,vowel/at1J20006.aiff,at1-vowel.json
hid,head,vowel/at1J20005.aiff,at1-vowel.json
hayed,hate,vowel/at1J20002.aiff,at1-vowel.json
hudd,hood,vowel/at1J20001.aiff,at1-vowel.json
hoed,hood,vowel/at1J20003.aiff,at1-vowel.json
precipitate,precipitate,multi/at2G83.aiff,at2G-multi.json
proclaim,proclaim,multi/at2G85.aiff,at2G-multi.json
procrastinate,procrastinate,multi/at2G86.aiff,at2G-multi.json
porcelain,porcelain,multi/at2G80.aiff,at2G-multi.json
poisoner,poisoner,multi/at2G79.aiff,at2G-multi.json
photographic,photographic,multi/at2G78.aiff,at2G-multi.json
amphibian,amphibian,multi/at2G8.aiff,at2G-multi.json
preferably,preferribly,multi/at2G84.aiff,at2G-multi.json
feminism,feminism,multi/at2G40.aiff,at2G-multi.json
adapt,adapt,multi/at2G4.aiff,at2G-multi.json
liberator,liberator,multi/at2G57.aiff,at2G-multi.json
incoherent,incoherent,multi/at2G50.aiff,at2G-multi.json
influenza,influenza,multi/at2G51.aiff,at2G-multi.json
iodine,iodine,multi/at2G53.aiff,at2G-multi.json
malfunction,malfunction,multi/at2G59.aiff,at2G-multi.json
macaroni,macaroni,multi/at2G58.aiff,at2G-multi.json
kangeroo,kangaroo,multi/at2G54.aiff,at2G-multi.json
lemonade,lemonade,multi/at2G56.aiff,at2G-multi.json
nectarine,nectarine,multi/at2G66.aiff,at2G-multi.json
sterile,sterile,multi/at2G97.aiff,at2G-multi.json
strengthen,strengthen,multi/at2G98.aiff,at2G-multi.json
subdivide,subdivide,multi/at2G99.aiff,at2G-multi.json
spider,spider,multi/at2G96.aiff,at2G-multi.json
sarcastic,sarcastic,multi/at2G94.aiff,at2G-multi.json
serenade,serenade,multi/at2G95.aiff,at2G-multi.json
alien,alien,multi/at2G6.aiff,at2G-multi.json
mascara,mascara,multi/at2G62.aiff,at2G-multi.json
martini,martini,multi/at2G61.aiff,at2G-multi.json
manufacture,manufacture,multi/at2G60.aiff,at2G-multi.json
mispronounce,mispronounce,multi/at2G64.aiff,at2G-multi.json
mighty,mighty,multi/at2G63.aiff,at2G-multi.json
museum,museum,multi/at2G65.aiff,at2G-multi.json
rodeo,rodeo,multi/at2G92.aiff,at2G-multi.json
detrimental,detrimental,multi/at2G30.aiff,at2G-multi.json
diabetes,diabetes,multi/at2G31.aiff,at2G-multi.json
