Expected Output,Actual Output,File name,Parsed Json file
superhighway,super highway,multi/mi1G100.aiff,mi1g-multi.json
absentee,epson t.,multi/mi1G1.aiff,mi1g-multi.json
aquarium,aquarium,multi/mi1G10.aiff,mi1g-multi.json
cemetery,cemetery,multi/mi1G21.aiff,mi1g-multi.json
circumstance,circumstance,multi/mi1G22.aiff,mi1g-multi.json
bassinet,basin net,multi/mi1G14.aiff,mi1g-multi.json
bazooka,bazooka,multi/mi1G15.aiff,mi1g-multi.json
bombard,bombard,multi/mi1G17.aiff,mi1g-multi.json
bikini,bikini,multi/mi1G16.aiff,mi1g-multi.json
caf,cafe,multi/mi1G18.aiff,mi1g-multi.json
caterpillar,caterpillar,multi/mi1G19.aiff,mi1g-multi.json
accelerate,accelerate,multi/mi1G2.aiff,mi1g-multi.json
cauliflower,cauliflower,multi/mi1G20.aiff,mi1g-multi.json
diabetes,diabetes,multi/mi1G31.aiff,mi1g-multi.json
equalizer,equilizer,multi/mi1G1036.aiff,mi1g-multi.json
tiger,tiger,multi/mi1G104.aiff,mi1g-multi.json
tangerine,tangerine,multi/mi1G102.aiff,mi1g-multi.json
bassinet,bassinet,multi/mi1G1014.aiff,mi1g-multi.json
teamster,teamster,multi/mi1G103.aiff,mi1g-multi.json
sweeten,sweden,multi/mi1G101.aiff,mi1g-multi.json
absent,absent,multi/mi1G0.aiff,mi1g-multi.json
detrimental,detrimental,multi/mi1G30.aiff,mi1g-multi.json
clarinet,clarinet,multi/mi1G23.aiff,mi1g-multi.json
constellation,constellation,multi/mi1G24.aiff,mi1g-multi.json
consume,consume,multi/mi1G25.aiff,mi1g-multi.json
coronation,coronation,multi/mi1G26.aiff,mi1g-multi.json
coyote,coyote,multi/mi1G27.aiff,mi1g-multi.json
dandelion,dandelion,multi/mi1G28.aiff,mi1g-multi.json
deactivate,deactivate,multi/mi1G29.aiff,mi1g-multi.json
accuser,accuser,multi/mi1G3.aiff,mi1g-multi.json
feminism,feminism,multi/mi1G40.aiff,mi1g-multi.json
adapt,adapt,multi/mi1G4.aiff,mi1g-multi.json
discourteous,discourteous,multi/mi1G34.aiff,mi1g-multi.json
disagree,disagree,multi/mi1G32.aiff,mi1g-multi.json
disapproval,dissaproval,multi/mi1G33.aiff,mi1g-multi.json
earthy,earthsea,multi/mi1G35.aiff,mi1g-multi.json
equalizer,equalizer,multi/mi1G36.aiff,mi1g-multi.json
exterior,exterior,multi/mi1G38.aiff,mi1g-multi.json
feminine,feminine,multi/mi1G39.aiff,mi1g-multi.json
evaporate,evaporate,multi/mi1G37.aiff,mi1g-multi.json
spider,spider,multi/mi1G96.aiff,mi1g-multi.json
strengthen,strengthen,multi/mi1G98.aiff,mi1g-multi.json
sterile,sterile,multi/mi1G97.aiff,mi1g-multi.json
subdivide,subdivide,multi/mi1G99.aiff,mi1g-multi.json
malfunction,malfunction,multi/mi1G59.aiff,mi1g-multi.json
macaroni,macaroni,multi/mi1G58.aiff,mi1g-multi.json
lemonade,lemonade,multi/mi1G56.aiff,mi1g-multi.json
kazoo,kazoo,multi/mi1G55.aiff,mi1g-multi.json
kangeroo,kangaroo,multi/mi1G54.aiff,mi1g-multi.json
liberator,liberator,multi/mi1G57.aiff,mi1g-multi.json
incoherent,incoherent,multi/mi1G50.aiff,mi1g-multi.json
influenza,influenza,multi/mi1G51.aiff,mi1g-multi.json
iodine,iodine,multi/mi1G53.aiff,mi1g-multi.json
insulate,insulate,multi/mi1G52.aiff,mi1g-multi.json
hurricane,hurricane,multi/mi1G49.aiff,mi1g-multi.json
alibi,alibi,multi/mi1G5.aiff,mi1g-multi.json
forecast,forecast,multi/mi1G41.aiff,mi1g-multi.json
guitar,guitar,multi/mi1G46.aiff,mi1g-multi.json
athletic,athletic,multi/mi1G12.aiff,mi1g-multi.json
axle,axle,multi/mi1G13.aiff,mi1g-multi.json
armadillo,armadillo,multi/mi1G11.aiff,mi1g-multi.json
victorious,victorious,multi/mi1G111.aiff,mi1g-multi.json
underrate,underweight,multi/mi1G110.aiff,mi1g-multi.json
unclean,unclean,multi/mi1G109.aiff,mi1g-multi.json
tomato,tomato,multi/mi1G105.aiff,mi1g-multi.json
martini,martini,multi/mi1G61.aiff,mi1g-multi.json
manufacture,manufacture,multi/mi1G60.aiff,mi1g-multi.json
