Expected Output,Actual Output,File name,Parsed Json file
obtain,obtain,so0G69.aiff,so0G-multi.json
obsession,obsession,so0G68.aiff,so0G-multi.json
mighty,my day,so0G63.aiff,so0G-multi.json
martini,martini,so0G61.aiff,so0G-multi.json
manufacture,manufacture,so0G60.aiff,so0G-multi.json
mascara,mascara,so0G62.aiff,so0G-multi.json
obedient,radiant,so0G67.aiff,so0G-multi.json
discourteous,discordious,so0G34.aiff,so0G-multi.json
equalizer,equalizer,so0G36.aiff,so0G-multi.json
mispronounce,mispronounce,so0G64.aiff,so0G-multi.json
nectarine,next train,so0G66.aiff,so0G-multi.json
museum,museum,so0G65.aiff,so0G-multi.json
feminine,feminine,so0G39.aiff,so0G-multi.json
exterior,exterior,so0G38.aiff,so0G-multi.json
evaporate,evaporate,so0G37.aiff,so0G-multi.json
earthy,earth birthday,so0G35.aiff,so0G-multi.json
outdoors,outdoors,so0G72.aiff,so0G-multi.json
pastel,best deal,so0G76.aiff,so0G-multi.json
coyote,cody,so0G27.aiff,so0G-multi.json
consume,consume,so0G25.aiff,so0G-multi.json
poisoner,poisonous,so0G79.aiff,so0G-multi.json
photographic,photographic,so0G78.aiff,so0G-multi.json
opportune,amazon,so0G70.aiff,so0G-multi.json
optimism,optimism,so0G71.aiff,so0G-multi.json
outshine,outside,so0G73.aiff,so0G-multi.json
dandelion,dandelion,so0G28.aiff,so0G-multi.json
cauliflower,cauliflower,so0G20.aiff,so0G-multi.json
clarinet,clarinet,so0G23.aiff,so0G-multi.json
cemetery,null,so0G21.aiff,so0G-multi.json
circumstance,circumstance,so0G22.aiff,so0G-multi.json
constellation,constellation,so0G24.aiff,so0G-multi.json
coronation,carnation,so0G26.aiff,so0G-multi.json
alibi,alabama,so0G5.aiff,so0G-multi.json
alien,alien,so0G6.aiff,so0G-multi.json
accelerate,accelerate,so0G2.aiff,so0G-multi.json
accuser,accuser,so0G3.aiff,so0G-multi.json
absentee,amazon the,so0G1.aiff,so0G-multi.json
absent,absent,so0G0.aiff,so0G-multi.json
aquarium,aquarium,so0G10.aiff,so0G-multi.json
axle,axle,so0G13.aiff,so0G-multi.json
athletic,athletic,so0G12.aiff,so0G-multi.json
insulate,insight,so0G1052.aiff,so0G-multi.json
earthy,everything,so0G1035.aiff,so0G-multi.json
underrate,right,so0G110.aiff,so0G-multi.json
amphibian,amphibian,so0G8.aiff,so0G-multi.json
anonymous,anonymous,so0G9.aiff,so0G-multi.json
adapt,that,so0G4.aiff,so0G-multi.json
alligator,alligator,so0G7.aiff,so0G-multi.json
